,cookie,unique_user_ids,num_users,target_artist,target_user,num_target_users,A035765,A121720,A409478,A520311,A762816,A783696,AL143326,AL274308,AL283235,AL356613,AL411722,AL525793,AL531011,AL634586,AL748975,AL825739,add_comment,add_to_cart,cart,change_billing_address,change_password,change_shipping_address,change_withdrawal_method,confirmation,disable_mfa,download_info,homepage,pause,personal_details,play,rate,recommendations,search,search?q=classical,search?q=hip-hop,search?q=jazz,search?q=pop,search?q=rock,see_balance,send_message,skip,submit_purchase,view_full_info,withdraw_balance
0,32cb902aaf374867c9b0f23a9b0d6dfa,"['U486984', 'U734415', 'U557722', 'U734312', 'U770286', 'U748815', 'U919424', 'U575442', 'U750775', 'U369562', 'U269290', 'U631730', 'U145168', 'U204274', 'U651065', 'U224257', 'U019517', 'U918199', 'U124328', 'U880812']",20,[nan],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,20,0,30,0,20,0,0,0,0,0,0,0,0,0,56,0,0,0,0,20
1,6de19499161f9da71032f40b8dd63eb1,"['U772698', 'U038703', 'U736144', 'U650933', 'U181694', 'U956095', 'U493261', 'U175180', 'U752499', 'U217250', 'U741536', 'U155816', 'U233527', 'U445622', 'U294634']",15,[nan],"[nan, 'U814351', 'U215441', 'U067778', 'U635572', 'U261904', 'U072722', 'U882040', 'U221352', 'U653192', 'U275033', 'U235310', 'U901110', 'U150188', 'U126768', 'U109070', 'U461332', 'U887018', 'U803632', 'U398953', 'U228861', 'U363593', 'U339709', 'U446002', 'U121466', 'U620898', 'U998497', 'U958167', 'U592260', 'U366410', 'U683448', 'U370021', 'U721406', 'U772497', 'U276601', 'U909192', 'U104275', 'U652643', 'U687168', 'U695316', 'U123850', 'U596419', 'U539135', 'U051240', 'U796018', 'U521003', 'U099438', 'U707641', 'U365585', 'U962271', 'U867970', 'U417092', 'U635376', 'U592182', 'U938141', 'U308624', 'U684029', 'U532230', 'U238855', 'U575832', 'U183676', 'U481254', 'U515754', 'U739833', 'U957025', 'U303617', 'U511242', 'U255119', 'U708566', 'U567187', 'U388556', 'U125944', 'U608409', 'U970013', 'U807499', 'U798657', 'U767633', 'U995710', 'U234599', 'U923534', 'U115195', 'U823623', 'U032570', 'U716748', 'U569628', 'U352329', 'U799714', 'U391599', 'U155678', 'U991957', 'U335264', 'U898462', 'U467032', 'U332977', 'U330976', 'U907692', 'U005077', 'U615654', 'U397942', 'U197647', 'U961714', 'U963385', 'U030323', 'U002242', 'U882663', 'U662469', 'U241637', 'U081636', 'U194170', 'U998142', 'U789539', 'U202626', 'U340935', 'U680058', 'U063983', 'U033496', 'U411600', 'U200724', 'U881632', 'U933495', 'U511860', 'U769109', 'U474820', 'U014922', 'U402444', 'U215539', 'U974280', 'U138208', 'U891034', 'U886729', 'U651136', 'U527620', 'U245768', 'U579667', 'U623391', 'U526059', 'U888794', 'U353579', 'U719869', 'U157594', 'U708790', 'U348328', 'U172949', 'U961804', 'U137158', 'U263840', 'U262735', 'U455656', 'U153205', 'U334606', 'U383030', 'U367253', 'U520947', 'U888882', 'U908400', 'U628409', 'U654121', 'U998677', 'U477550', 'U602363', 'U046334', 'U701693', 'U627074', 'U759377', 'U694967', 'U700032', 'U186166', 'U651420', 'U333962', 'U695266', 'U698593', 'U076932', 'U453323', 'U212897', 'U611915', 'U102488', 'U150047', 'U567475', 'U226245', 'U107496', 'U801015', 'U938045', 'U905898', 'U685807', 'U531933', 'U759045', 'U734508', 'U621482', 'U262536', 'U872659', 'U982242', 'U479528', 'U687653', 'U116339', 'U866567', 'U170023', 'U459946', 'U970702', 'U486514', 'U530279', 'U865559', 'U373758', 'U789141', 'U729520', 'U418536', 'U017826', 'U318430', 'U018680', 'U966082', 'U961121', 'U865153', 'U071837', 'U201517', 'U407131', 'U741239', 'U633192', 'U319934', 'U011124', 'U223032', 'U396199', 'U128753', 'U764111', 'U750095', 'U966907', 'U248540', 'U161894', 'U320837', 'U291553', 'U828906', 'U297645', 'U318725', 'U265611', 'U719111', 'U862356', 'U672618', 'U737943', 'U590908', 'U272695', 'U805045', 'U486665', 'U622480', 'U233213', 'U511909', 'U161561', 'U672040', 'U408876', 'U112339', 'U095137', 'U482588', 'U631991', 'U873089', 'U282645', 'U350864', 'U258554', 'U048441', 'U117243', 'U047396', 'U252931', 'U771677', 'U901387', 'U603325', 'U062767', 'U508737', 'U924822', 'U101462', 'U406759', 'U200909', 'U470613', 'U409931', 'U771114', 'U005099', 'U355075', 'U329207', 'U200188', 'U176963', 'U145804', 'U589329', 'U402027', 'U656539', 'U206614', 'U855098', 'U001676', 'U589890', 'U777607', 'U900107', 'U496578', 'U928630', 'U156538', 'U403817', 'U222134', 'U952461', 'U863451', 'U428621', 'U934367', 'U235575', 'U692602', 'U894384', 'U663607', 'U681649', 'U431297', 'U624650', 'U062929', 'U421274', 'U305834', 'U289153', 'U623245', 'U574635', 'U513811', 'U989716', 'U153001', 'U757408', 'U675337', 'U628186', 'U600759', 'U231800', 'U004793', 'U604068', 'U272129', 'U711754', 'U031313', 'U154007', 'U623807', 'U310683', 'U190117', 'U846231', 'U246888', 'U928171', 'U354454', 'U810656', 'U161533', 'U737905', 'U996946', 'U115276', 'U790913', 'U446505', 'U458956', 'U366528', 'U743066', 'U010362', 'U121157']",340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,15,0,28,0,15,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0
2,9018f5d85ecf8185385f99cab02d48f7,"['U782372', 'U621865', 'U401248', 'U148321', 'U243397', 'U847514', 'U286051', 'U545064', 'U707396', 'U440291', 'U416122', 'U099019', 'U061389']",13,[nan],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,13,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
3,3d4b68a542d2a96c067806ff026e4b99,"['U672784', 'U402958', 'U336034', 'U099471', 'U908969', 'U974566', 'U973848', 'U716718', 'U547644', 'U928638', 'U628637', 'U863865']",12,['A000360'],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,88,0,112,111,0,0,0,0,0,0,0,0,0,0,0,0,0
4,a11a3a34b1d68ebe53474a19fe6fdef6,"['U991394', 'U041525', 'U600687', 'U473280', 'U374681', 'U842840', 'U859449', 'U041508', 'U251412', 'U381749', 'U064018']",11,['A000360'],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,126,0,126,124,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5c887169d0d17b3a65b86fb6ba9a47bc,"['U744743', 'U438102', 'U168598', 'U883093', 'U687501', 'U671439', 'U368556', 'U777022', 'U994777', 'U164867']",10,"['A903598', nan, 'A972244', 'A520311', 'A616776', 'A867960', 'A459175', 'A160965', 'A236926', 'A638090', 'A672983', 'A720779', 'A065450', 'A736910', 'A631724', 'A730284', 'A628731', 'A383077', 'A035765', 'A980835', 'A677895', 'A446991', 'A449666', 'A951041', 'A168240', 'A922085', 'A849567', 'A067667', 'A221227', 'A783696', 'A155459', 'A004145', 'A117063', 'A958480', 'A649565', 'A517511', 'A316947', 'A597868', 'A392158', 'A762816', 'A001929', 'A763582', 'A861457', 'A386412', 'A913845', 'A900372', 'A790899', 'A048390', 'A595789', 'A810331', 'A211816', 'A215416', 'A520902', 'A951489', 'A488754', 'A477219', 'A701005', 'A409478', 'A455623', 'A790777', 'A146627', 'A171855', 'A185676', 'A610176', 'A145787', 'A613517', 'A384422', 'A016898', 'A755595', 'A405435', 'A085166', 'A426461', 'A799262', 'A768622', 'A522630', 'A829560', 'A935705', 'A589602', 'A749805', 'A518263', 'A449907', 'A988258', 'A737945', 'A845545', 'A630970', 'A970928', 'A121720', 'A293088', 'A291845', 'A151221']",[nan],0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,73,10,10,10,10,0,10,10,0,52,0,10,0,0,0,0,3,3,1,3,2,0,0,0,10,0,0
6,39c820d96400d68133c6cdc89b510210,"['U429354', 'U535312', 'U889020', 'U277049', 'U273125', 'U250989', 'U198381', 'U893065']",8,"['A000393', 'A000942', nan, 'A000728', 'A000166', 'A000806', 'A000481', 'A000122', 'A000777', 'A000696', 'A000170', 'A000703', 'A000637', 'A000722', 'A000586', 'A000657', 'A000910', 'A000721', 'A000677', 'A000475', 'A000598', 'A000448', 'A000238', 'A000560', 'A000272', 'A000178', 'A000291', 'A000784', 'A000211', 'A000947', 'A000579', 'A000533', 'A000072', 'A000983', 'A000179', 'A000939', 'A000930', 'A000932', 'A000025', 'A000575', 'A000732', 'A000950']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,73,0,53,74,0,0,0,0,0,0,0,61,0,0,0
7,baff2461b2e0023044b86409fbaf95ad,"['U874993', 'U388223', 'U947600', 'U204857', 'U838365', 'U751445', 'U700315']",7,"['A000792', nan, 'A000785', 'A000198', 'A000743', 'A000573', 'A000063', 'A000959', 'A000054', 'A000710', 'A000257', 'A000650', 'A000096', 'A000406', 'A000915', 'A000425', 'A000135', 'A000500', 'A000462', 'A000741', 'A000470', 'A000100', 'A000857', 'A000583', 'A000393', 'A000985', 'A000331', 'A000154', 'A000758', 'A000681', 'A000871', 'A000433', 'A000652', 'A000968', 'A000166', 'A000391', 'A000639', 'A000916', 'A000937', 'A000409', 'A000876']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,63,0,64,62,0,0,0,0,0,0,0,78,0,0,0
8,233ccf27c247ec694fbb7b3cb94cf849,"['U457264', 'U217728', 'U365190', 'U081023', 'U958078', 'U838103', 'U465331']",7,"['A000681', nan, 'A000420', 'A000892', 'A000370', 'A000379', 'A000372', 'A000546', 'A000345', 'A000883', 'A000185', 'A000820', 'A000498', 'A000337', 'A000898', 'A000120', 'A000012', 'A000023', 'A000210', 'A000517', 'A000289', 'A000010', 'A000901', 'A000852', 'A000929', 'A000906', 'A000018', 'A000505', 'A000727', 'A000006', 'A000684', 'A000981', 'A000595']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,54,0,56,53,0,0,0,0,0,0,0,49,0,0,0
9,92f6a65752332fc6e90dcd4af7457fd7,"['U767153', 'U645461', 'U935672', 'U410837', 'U464972', 'U089667']",6,"[nan, 'A000739', 'A000013', 'A000178', 'A000834', 'A000226', 'A000297', 'A000103', 'A000372', 'A000749', 'A000332', 'A000324', 'A000695', 'A000566', 'A000258', 'A000602', 'A000520', 'A000340', 'A000845', 'A000378', 'A000067', 'A000018', 'A000866', 'A000248', 'A000526', 'A000689', 'A000680']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,53,0,59,51,0,0,0,0,0,0,0,45,0,0,0
10,2e9e8544e6590bdca5f26fdcc311892e,"['U610138', 'U238209', 'U018249', 'U824691', 'U507999']",5,['A000360'],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,42,0,49,45,0,0,0,0,0,0,0,0,0,0,0,0,0
11,82b4242fef08c1f470a79b912da5d1d1,"['U931623', 'U710921', 'U224721', 'U435333', 'U048217']",5,"[nan, 'A000505', 'A000900', 'A000670', 'A000705', 'A000589', 'A000563', 'A000052', 'A000880', 'A000098', 'A000381', 'A000224', 'A000045', 'A000623', 'A000293', 'A000596', 'A000068', 'A000718', 'A000249', 'A000012', 'A000832', 'A000737', 'A000126', 'A000472']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,38,0,42,51,0,0,0,0,0,0,0,48,0,0,0
12,40b3ae6092bd5fd690c7c07270f7abe1,"['U592966', 'U960875', 'U069429', 'U441826', 'U723349']",5,"['A000639', nan, 'A000412', 'A000945', 'A000257', 'A000693', 'A000056', 'A000599', 'A000308', 'A000528', 'A000357', 'A000417', 'A000671', 'A000788', 'A000663', 'A000749']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,25,0,28,31,0,0,0,0,0,0,0,35,0,0,0
13,56c426d56caf22efeaa6f65c29c8c0a9,"['U191889', 'U895065', 'U417303', 'U393528']",4,['A000360'],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,24,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0
14,76fca35fedbf99ee3e2f609bc40ae9ce,"['U769104', 'U015931', 'U850650', 'U227153']",4,"['A000520', nan, 'A000576', 'A000268', 'A000826', 'A000254', 'A000382', 'A000129', 'A000647', 'A000792', 'A000643', 'A000583']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,20,0,34,32,0,0,0,0,0,0,0,28,0,0,0
15,3ad837e4a0357a513869bdd67a944393,"['U651983', 'U808041', 'U154831', 'U828639']",4,"[nan, 'A000982', 'A000635', 'A000720', 'A000417', 'A000108', 'A000663', 'A000968', 'A000970', 'A000081', 'A000141', 'A000265', 'A000867', 'A000991', 'A000905', 'A000178', 'A000359', 'A000031', 'A000680', 'A000807', 'A000312', 'A000030', 'A000121', 'A000517', 'A000351', 'A000890', 'A000986']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,36,0,43,45,0,0,0,0,0,0,0,47,0,0,0
16,aa5211f460591fea2e027aa14a9170db,"['U546189', 'U865159', 'U065507', 'U193151']",4,"['A000029', nan, 'A000091', 'A000034', 'A000305', 'A000626', 'A000688', 'A000458', 'A000073', 'A000603', 'A000288', 'A000095']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,27,0,20,29,0,0,0,0,0,0,0,24,0,0,0
17,370709f85845897bc7d0ca2e3f4defa9,"['U468847', 'U281785', 'U122311', 'U227621']",4,"['A000252', nan, 'A000977', 'A000889', 'A000354', 'A000322', 'A000878', 'A000573', 'A000331', 'A000260', 'A000110']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,8,0,17,11,0,0,0,0,0,0,0,19,0,0,0
18,be451e6375482926fa57960290912c47,"['U123431', 'U389862', 'U573245', 'U222397']",4,['A000360'],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,50,0,38,33,0,0,0,0,0,0,0,0,0,0,0,0,0
19,cf332e89d0315df2f8f79ceb42c361fb,"['U472409', 'U520320', 'U928990', 'U203257']",4,['A000360'],[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,45,0,44,41,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5ae63cada6380d281513ede51a892d49,"['U855408', 'U567167', 'U638547']",3,"[nan, 'A000904', 'A000004', 'A000257', 'A000045', 'A000173', 'A000038', 'A000304', 'A000696', 'A000311', 'A000965', 'A000605', 'A000852', 'A000820', 'A000435']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,16,0,27,23,0,0,0,0,0,0,0,34,0,0,0
21,c0db5db5d91174cacf05ee6b3f7f6414,"['U556984', 'U566824', 'U969097']",3,"['A000528', nan, 'A000161', 'A000192', 'A000189', 'A000679', 'A000037', 'A000457', 'A000891', 'A000050', 'A000626', 'A000143', 'A000693', 'A000769', 'A000207', 'A000755', 'A000267', 'A000641']",[nan],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,27,0,28,34,0,0,0,0,0,0,0,28,0,0,0
